Delta Size,Scan Latency
59900,0.4916858673095703
65665,0.32785677909851074
72081,0.4797492027282715
77899,0.34384584426879883
83997,0.38190579414367676
89707,0.35693907737731934
95717,0.39365100860595703
101953,0.4797627925872803
108489,0.5666589736938477
115000,0.5909521579742432
122090,0.7026979923248291
128385,0.5145227909088135
135686,0.7152957916259766
142242,0.6014549732208252
149039,0.7712440490722656
155810,0.6751291751861572
162501,0.7161281108856201
169629,0.6508219242095947
176492,0.6105320453643799
183051,0.5667457580566406
189667,0.6155440807342529
197348,0.8241047859191895
204216,0.7653639316558838
211755,0.7426459789276123
218484,0.6240711212158203
225410,0.713231086730957
232223,0.6907010078430176
239773,0.74159836769104
246477,0.7280399799346924
253686,1.0432591438293457
260659,1.1167261600494385
269192,1.02947998046875
277386,1.602159023284912
285300,1.2533020973205566
293547,1.0996201038360596
300927,0.9611918926239014
308883,1.457228660583496
317983,1.5404398441314697
325766,1.8173069953918457
334669,1.3253252506256104
344241,2.0322020053863525
352467,2.393465757369995
358966,2.007160186767578
368027,1.458137035369873
376580,1.9140079021453857
386095,1.732651948928833
395599,2.5828018188476562
403646,2.2932870388031006
414154,1.948801040649414
423889,2.0456438064575195
433002,2.074918031692505
442469,1.7081279754638672
451995,1.9656147956848145
460532,2.854853868484497
468662,2.252277135848999
478067,1.6435801982879639
487872,2.6927149295806885
494640,2.2705230712890625
503691,2.308276891708374
511431,2.240309953689575
532892,2.818202018737793
540095,2.601518154144287
